MLD,IN_PH,IN_TSS,IN_COD,IN_BOD,IN_MPN,OUT_PH,OUT_DO,OUT_TSS,OUT_COD,OUT_BOD,OUT_MPN
0.48280434974803293,0.6093750000000003,0.47513812154696133,0.38181818181818183,0.5327102803738317,0.24447646493756003,7.65,4.9,37.0,84.0,28.0,0.06783333333333334
0.6949871806206348,0.48437500000000033,0.6574585635359116,0.4909090909090909,0.6261682242990654,0.2780979827089337,7.62,4.7,35.0,64.0,29.0,0.07083333333333335
0.37671293431173203,0.375,0.7900552486187845,0.6,0.7663551401869159,0.34534101825168106,7.6,5.0,46.0,80.0,26.0,0.07683333333333335
0.22641676244363904,0.5156249999999997,0.712707182320442,0.5636363636363636,0.719626168224299,0.34534101825168106,7.56,4.8,42.0,68.0,25.0,0.067
0.3943948368844488,0.5312500000000007,0.6795580110497238,0.5272727272727272,0.5794392523364486,0.3131604226705091,7.58,4.7,39.0,80.0,28.0,0.07016666666666667
0.7480328883387852,0.48437500000000033,0.56353591160221,0.45454545454545453,0.6542056074766355,0.2555235350624399,7.66,5.0,36.0,72.0,24.0,0.064
0.4739633984616745,0.375,0.5469613259668509,0.4,0.5327102803738317,0.27137367915465893,7.52,4.9,34.0,68.0,25.0,0.07083333333333335
0.4209176907435241,0.4375,0.6353591160220995,0.4909090909090909,0.5794392523364486,0.2785782901056676,7.68,5.0,39.0,80.0,27.0,0.06383333333333334
0.46512244717531614,0.5,0.580110497237569,0.5272727272727272,0.7009345794392523,0.24591738712776173,7.63,4.8,42.0,64.0,26.0,0.06866666666666667
0.5800548138979754,0.5625,0.47513812154696133,0.45454545454545453,0.5794392523364486,0.2574447646493756,7.7,5.2,35.0,56.0,27.0,0.05966666666666667
0.5535319600389003,0.46875000000000067,0.44751381215469616,0.38181818181818183,0.6261682242990654,0.5912584053794427,7.63,5.1,40.0,72.0,29.0,0.067
0.6242595703297675,0.4375,0.5359116022099447,0.45454545454545453,0.7009345794392523,0.2958693563880883,7.57,4.9,35.0,64.0,25.0,0.06316666666666666
0.7038281319069932,0.5625,0.5966850828729282,0.4909090909090909,0.6261682242990654,0.25648414985590773,7.62,5.0,42.0,84.0,27.0,0.06683333333333334
0.6949871806206348,0.5156249999999997,0.7790055248618785,0.41818181818181815,0.5794392523364486,0.4586935638808838,7.58,4.8,41.0,68.0,25.0,0.0635
0.6596233754752012,0.7187500000000007,0.6077348066298343,0.5272727272727272,0.7663551401869159,0.22910662824207495,7.72,5.0,44.0,72.0,27.0,0.05933333333333333
0.5977367164706923,0.625,0.6961325966850829,0.4909090909090909,0.6728971962616822,0.27329490874159457,7.6,4.7,42.0,80.0,29.0,0.0685
0.7391919370524269,0.5781249999999997,0.8121546961325967,0.5272727272727272,0.7009345794392523,0.324207492795389,7.7,5.0,37.0,64.0,27.0,0.07083333333333335
0.6242595703297675,0.5937500000000007,0.7624309392265194,0.45454545454545453,0.5794392523364486,0.3659942363112392,7.68,5.1,43.0,80.0,25.0,0.06650000000000002
0.6596233754752012,0.5312500000000007,0.5911602209944752,0.36363636363636365,0.514018691588785,0.3429394812680115,7.7,5.3,38.0,76.0,26.0,0.07316666666666667
0.4474405446025993,0.42187500000000033,0.6850828729281768,0.45454545454545453,0.6074766355140186,0.3227665706051873,7.61,4.9,43.0,72.0,24.0,0.06716666666666667
0.527009106179825,0.5,0.6298342541436464,0.34545454545454546,0.48598130841121495,0.39625360230547546,7.65,5.1,46.0,84.0,27.0,0.06216666666666667
0.916010962779595,0.39062499999999967,0.585635359116022,0.38181818181818183,0.5327102803738317,0.26032660902977905,7.67,5.2,40.0,64.0,25.0,0.06383333333333334
0.6065776677570507,0.35937500000000033,0.5359116022099447,0.38181818181818183,0.5794392523364486,0.313640730067243,7.63,5.0,38.0,80.0,26.0,0.06016666666666667
0.677305278047918,0.4375,0.6574585635359116,0.4909090909090909,0.7009345794392523,0.2473583093179635,7.64,4.8,46.0,60.0,28.0,0.06566666666666666
0.6949871806206348,0.5,0.580110497237569,0.45454545454545453,0.6542056074766355,0.29298751200768486,7.7,5.1,42.0,76.0,27.0,0.06433333333333334
0.7303509857660685,0.5,0.6685082872928176,0.4909090909090909,0.6542056074766355,0.3818443804034582,7.67,4.9,40.0,72.0,25.0,0.0695
0.7922376447705773,0.5781249999999997,0.7071823204419889,0.5272727272727272,0.5794392523364486,0.2487992315081652,7.6,4.8,38.0,68.0,27.0,0.07
0.8541243037750862,0.5156249999999997,0.7403314917127072,0.43636363636363634,0.4672897196261682,0.4577329490874159,7.63,5.0,36.0,80.0,29.0,0.06433333333333334
0.8099195473432942,0.375,0.6298342541436464,0.5636363636363636,0.5794392523364486,0.3578290105667627,7.58,4.7,39.0,64.0,26.0,0.05983333333333334
0.6065776677570507,0.46875000000000067,0.7403314917127072,0.4909090909090909,0.6542056074766355,0.3659942363112392,7.61,4.9,44.0,84.0,27.0,0.06333333333333334
